Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
CROWNE PLAZA VILNIUS,Malachitinė B,36,Y,Y,U stilius: 12; Apvalaus stalo stilius: 16; Banketo stilius: 10,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Safyrinė A,160,Y,Y,Teatro stilius: 156; Klasės stilius: 82; U stilius: 44; Apvalaus stalo stilius: 52; Banketo stilius: 80,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Safyrinė (A+B+C),550,Y,Y,Teatro stilius: 530; Klasės stilius: 250; U stilius: 100; Apvalaus stalo stilius: 156; Banketo stilius: 300,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Safyrinė B,225,Y,Y,Teatro stilius: 220; Klasės stilius: 100; U stilius: 54; Apvalaus stalo stilius: 60; Banketo stilius: 100,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
CROWNE PLAZA VILNIUS,Safyrinė C,140,Y,Y,Teatro stilius: 135; Klasės stilius: 66; U stilius: 40; Apvalaus stalo stilius: 44; Banketo stilius: 70,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
DAINAVA,Didžioji salė,,Y,Y,Teatro stilius: 255; Klasės stilius: 80; U stilius: 70; Apvalaus stalo stilius: 80; Banketo stilius: 200,
DAINAVA,Ilgoji salė,,Y,Y,Teatro stilius: 60; Klasės stilius: 50; U stilius: 40; Apvalaus stalo stilius: 50; Banketo stilius: 100,
DAINAVA,Korpuso didžioji salė,,Y,Y,Teatro stilius: 50; Klasės stilius: 40; U stilius: 30; Apvalaus stalo stilius: 30; Banketo stilius: 60,
DAINAVA,Korpuso mažoji salė,,Y,Y,Teatro stilius: 30; U stilius: 20; Apvalaus stalo stilius: 25; Banketo stilius: 30,
DAINAVA,Mokymo salė,,Y,Y,Teatro stilius: 30; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 30,
DAINAVA,Mokymo salė,,Y,Y,Teatro stilius: 30; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 30,
DAINAVA,Mokymo salė,,Y,Y,Teatro stilius: 30; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 30,
