Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
PRIE MALŪNO,Didžioji salė,85,Y,Y,Teatro stilius: 70; Klasės stilius: 28; U stilius: 24; Apvalaus stalo stilius: 25; Banketo stilius: 70,"CD grotuvas, Ekranas, Grafinis projektorius, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
PRIE MALŪNO,Mažoji salė,60,Y,Y,Teatro stilius: 40; Klasės stilius: 16; Apvalaus stalo stilius: 25; Banketo stilius: 40,"CD grotuvas, Ekranas, Grafinis projektorius, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
PROMENADA,Konferencijų salė,,Y,Y,Teatro stilius: 30,Ekranas
PUNTUKAS,,,Y,Y,Banketo stilius: 60,
PURIENA,,,Y,Y,Teatro stilius: 30,
PUŠYNAS,Konferencijų salė,,Y,Y,Teatro stilius: 50,"DVD grotuvas, Grafinis projektorius, Multimedia"
PUŠYNAS,Konferencijų salė,,Y,Y,Teatro stilius: 30,
PUŠYNO NAMAI,,,,Y,Klasės stilius: 30,"Ekranas, Grafinis projektorius"
PUŠIS,,52,Y,Y,Klasės stilius: 25; U stilius: 25,"Multimedia, Rašymo lenta, Skaidrių projektorius, TV"
PUŠIS,,,Y,Y,U stilius: 12,"Multimedia, Rašymo lenta, Skaidrių projektorius, TV"
PUŠŲ PAUNKSNĖJE,Salė 1,47,Y,Y,Teatro stilius: 25; Klasės stilius: 25; U stilius: 30; Apvalaus stalo stilius: 20; Banketo stilius: 30,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Multimedia, Oro kondicionierius, Rašymo lenta, TV, Telefonas, Video grotuvas"
PUŠŲ PAUNKSNĖJE,Salė 2,32,Y,Y,Teatro stilius: 12; Klasės stilius: 12; U stilius: 30; Apvalaus stalo stilius: 20; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Oro kondicionierius, Rašymo lenta, TV, Telefonas, Video grotuvas"
PUŠŲ PAUNKSNĖJE,Salė 3,23,Y,Y,Teatro stilius: 6; Klasės stilius: 6; U stilius: 10; Apvalaus stalo stilius: 10; Banketo stilius: 10,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Oro kondicionierius, Rašymo lenta, TV, Telefonas, Video grotuvas"
RADISSON BLU ASTORIJA,Arija,27,Y,Y,Teatro stilius: 20; U stilius: 12,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Fuga,22,Y,Y,Teatro stilius: 20,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Oktava,12,Y,Y,Apvalaus stalo stilius: 4,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Simfonija 1,61,Y,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 20; Banketo stilius: 32,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Simfonija 1+2,124,Y,Y,Teatro stilius: 130; Klasės stilius: 70; U stilius: 40; Banketo stilius: 64,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Simfonija 2,63,Y,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 25; Banketo stilius: 30,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Simfonija+Lobby,158,Y,Y,Teatro stilius: 130; Klasės stilius: 100; U stilius: 40; Banketo stilius: 96,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU ASTORIJA,Sonata,64,Y,Y,Teatro stilius: 50; U stilius: 14; Banketo stilius: 24,"CD grotuvas, DVD grotuvas, Diktofonas, Diskusiniai mikrofonai, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
RADISSON BLU HOTEL LIETUVA,Alfa,,,Y,Teatro stilius: 300; Klasės stilius: 150; Banketo stilius: 200,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Beta,,,Y,Banketo stilius: 300,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lambada 1,,,Y,Teatro stilius: 52; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lambada 1+2,,,Y,Teatro stilius: 104; Klasės stilius: 50; U stilius: 32; Apvalaus stalo stilius: 40,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lambada 1+2+3,,,Y,Teatro stilius: 180; Klasės stilius: 80; Banketo stilius: 80,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lambada 2,,,Y,Teatro stilius: 52; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lambada 3,,,Y,Teatro stilius: 52; Klasės stilius: 24; U stilius: 20,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lambada 3+2,,,Y,Teatro stilius: 104; Klasės stilius: 50; U stilius: 32; Apvalaus stalo stilius: 40,"Interneto ryšys, Multimedia, Telefonas"
RADISSON BLU HOTEL LIETUVA,Lobby + Beta,,,Y,Banketo stilius: 500,"Interneto ryšys, Oro kondicionierius, Telefonas"
RADISSON BLU KLAIPĖDA,,,,Y,Klasės stilius: 55,Grafinis projektorius
RADISSON BLU KLAIPĖDA,,,,Y,Klasės stilius: 55,Grafinis projektorius
RAMADA HOTEL AND SUITES VILNIUS,,,,Y,Teatro stilius: 100; Apvalaus stalo stilius: 20,"Ekranas, Mikrofonas, Multimedia, Rašymo lenta, Įranga garso įrašymui"
RASA,,,Y,Y,Teatro stilius: 30,
RATONDA CENTRUM HOTEL,Kaunas,85,Y,Y,Teatro stilius: 25; Klasės stilius: 18; U stilius: 18; Banketo stilius: 25,
RATONDA CENTRUM HOTEL,Klaipėda,,Y,Y,Teatro stilius: 80; Klasės stilius: 54; U stilius: 35; Apvalaus stalo stilius: 35,
RĄŽĖ,,,,Y,Teatro stilius: 40,
REGINA,,,,Y,Klasės stilius: 90,"Ekranas, Grafinis projektorius, Mikrofonas, Multimedia, TV, Įranga garso įrašymui"
REGINA,,,,Y,Klasės stilius: 90; Apvalaus stalo stilius: 20,
REGINA,,,,Y,Apvalaus stalo stilius: 20,
REVAL HOTEL LIETUVA,Alfa,672,Y,Y,Teatro stilius: 600; Banketo stilius: 300,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Beta,313,Y,Y,Teatro stilius: 250; Banketo stilius: 200,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Delta ( 22 aukštas ),69,Y,Y,Teatro stilius: 40; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Epsilon,61,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 24; Apvalaus stalo stilius: 28; Banketo stilius: 30,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Eta,58,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 24; Apvalaus stalo stilius: 28,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Gamma,61,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 24; Apvalaus stalo stilius: 28,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Iota,37,Y,Y,Teatro stilius: 40; Klasės stilius: 22; U stilius: 16; Apvalaus stalo stilius: 20,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lambda 1,49,Y,Y,Teatro stilius: 52; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lambda 1+2,98,Y,Y,Teatro stilius: 104; Klasės stilius: 50; U stilius: 32; Apvalaus stalo stilius: 40,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lambda 1+2+3,149,Y,Y,Teatro stilius: 180; Klasės stilius: 80; Banketo stilius: 80,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lambda 2,49,Y,Y,Teatro stilius: 52; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lambda 3,51,Y,Y,Teatro stilius: 52; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lambda 3+2,100,Y,Y,Teatro stilius: 104; Klasės stilius: 50; U stilius: 32; Apvalaus stalo stilius: 40,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lobby,400,Y,Y,Banketo stilius: 300,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Lobby+Beta,753,Y,Y,Banketo stilius: 500,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Omega,39,Y,Y,Teatro stilius: 50; Klasės stilius: 24; U stilius: 16; Apvalaus stalo stilius: 20; Banketo stilius: 20,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Omikron,24,Y,Y,Teatro stilius: 24; Klasės stilius: 12; U stilius: 12; Apvalaus stalo stilius: 14,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Sigma,15,Y,Y,Apvalaus stalo stilius: 8,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Tau,32,Y,Y,Teatro stilius: 35; Klasės stilius: 18; U stilius: 14; Apvalaus stalo stilius: 16,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Theta,72,Y,Y,Teatro stilius: 80; Klasės stilius: 35; U stilius: 30; Apvalaus stalo stilius: 36,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL HOTEL LIETUVA,Zeta,131,Y,Y,Teatro stilius: 150; Klasės stilius: 80; U stilius: 52; Apvalaus stalo stilius: 52; Banketo stilius: 80,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Video projektorius, Įranga garso įrašymui"
REVAL INN VILNIUS,Baltija 1,90,Y,Y,Teatro stilius: 80; Klasės stilius: 50,"Diktofonas, Ekranas, Grafinis projektorius, Kompiuteris, Lazerinė rodyklė, Multimedia, Popierius, Rašymo lenta, Sinchroninis vertimas, TV"
REVAL INN VILNIUS,Baltija 1+2,140,Y,Y,Teatro stilius: 140; Klasės stilius: 60; U stilius: 50,
REVAL INN VILNIUS,Baltija 2,50,Y,Y,Teatro stilius: 50; Klasės stilius: 20,"Diktofonas, Ekranas, Grafinis projektorius, Kompiuteris, Lazerinė rodyklė, Multimedia, Popierius, Rašymo lenta, Sinchroninis vertimas, TV"
RINNO,Raudonmedžio salė,,Y,Y,Teatro stilius: 35; Klasės stilius: 30; U stilius: 22; Apvalaus stalo stilius: 30; Banketo stilius: 20,
RINNO,,,Y,Y,Teatro stilius: 10,
ROMANTIC,Didžioji salė,,,Y,Teatro stilius: 160; Klasės stilius: 50; U stilius: 30; Apvalaus stalo stilius: 36,
ROMANTIC,Fortūnos salė,,,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 25,
ROMANTIC,Mažoji salė,,,Y,Teatro stilius: 60; Klasės stilius: 25; U stilius: 20,
ROMANTIC,VIP posėdžių kambarys,,,Y,Apvalaus stalo stilius: 16,
RŪDNINKŲ VARTAI,,,,Y,Teatro stilius: 14,
RUGELIS,,,,Y,Banketo stilius: 60,
SANTA BARBARA,,,,Y,Klasės stilius: 100,
SANTAKOS,Didžioji,48,Y,Y,Teatro stilius: 60; Klasės stilius: 40; U stilius: 30; Apvalaus stalo stilius: 34,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Multimedia, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Video grotuvas, Įranga garso įrašymui"
SANTAKOS,Mažoji,34,Y,Y,Teatro stilius: 30; Klasės stilius: 22; U stilius: 16; Apvalaus stalo stilius: 20,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Video grotuvas"
SANTAKOS,Vienuolyno,120,Y,Y,Teatro stilius: 200; Klasės stilius: 110; U stilius: 90; Apvalaus stalo stilius: 100; Banketo stilius: 120,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Video grotuvas, Įranga garso įrašymui"
SAULININKAS,,,Y,Y,Teatro stilius: 30,
SENAS NAMAS,,,Y,Y,Teatro stilius: 40; Klasės stilius: 40,
SFINKSAS,,,Y,Y,Teatro stilius: 60,
SHAKESPEARE,Geltona,55,Y,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 20; Apvalaus stalo stilius: 22; Banketo stilius: 22,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
SHAKESPEARE,Raudona,20,Y,Y,Teatro stilius: 20; Klasės stilius: 16; U stilius: 12; Apvalaus stalo stilius: 14; Banketo stilius: 14,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
SHAKESPEARE,Žalia,53,Y,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 20; Apvalaus stalo stilius: 22; Banketo stilius: 22,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, Skaidrių projektorius, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
SIMBOLY,,,Y,Y,Klasės stilius: 55,"Ekranas, Interneto ryšys, Mikrofonas, Skaidrių projektorius, Tribūna, Video projektorius"
SIMBOLY,,,Y,Y,Klasės stilius: 48,"Ekranas, Interneto ryšys, Mikrofonas, Skaidrių projektorius, Tribūna, Video projektorius"
SIMBOLY,,,Y,Y,Klasės stilius: 24,"Ekranas, Interneto ryšys, Mikrofonas, Multimedia, Skaidrių projektorius, Tribūna, Video projektorius"
SKRYDIS,Konferencijų salė 1,,,Y,Teatro stilius: 10,
SKRYDIS,Konferencijų salė 2,,,Y,Teatro stilius: 80,
SKRYDIS,Konferencijų salė 3,,,Y,Teatro stilius: 14,
SMĖLYNĖ,,,,Y,Teatro stilius: 60; Klasės stilius: 130,"Ekranas, Interneto ryšys, Rašymo lenta, Video projektorius"
SMILGA,,,Y,Y,Klasės stilius: 60,Multimedia
SONATA,,,Y,Y,Banketo stilius: 30,
SPA - VILNIUS,,,Y,Y,Teatro stilius: 50,
SPA - VILNIUS,,,Y,Y,Teatro stilius: 350,
SPA - VILNIUS,,,Y,Y,Teatro stilius: 36,
SPA HOTEL BELVILIS,,,,Y,Teatro stilius: 12,
SPA HOTEL BELVILIS,,,,Y,Apvalaus stalo stilius: 6,
SPA HOTEL BELVILIS,,,,Y,Teatro stilius: 70,"Grafinis projektorius, Kompiuteris, Mikrofonas"
STADALA,,,Y,Y,Teatro stilius: 50,
STIKLIAI,Didžioji salė,,,Y,Teatro stilius: 60; Klasės stilius: 24; Banketo stilius: 30,
SUDAVIJA,,,Y,Y,Teatro stilius: 12,
ŠACHMATINĖ,Susitikimų kambarys,,,Y,U stilius: 10,
ŠARŪNAS,I salė,,Y,Y,Teatro stilius: 230; Klasės stilius: 100; U stilius: 60; Banketo stilius: 150,
ŠARŪNAS,2 salė,,Y,Y,Teatro stilius: 90; Klasės stilius: 60; U stilius: 35; Banketo stilius: 40,
ŠARŪNAS,3 salė,,Y,Y,Teatro stilius: 30; Klasės stilius: 22; U stilius: 18; Banketo stilius: 35,
ŠARŪNAS,4 salė,,Y,Y,Teatro stilius: 60; Klasės stilius: 40; U stilius: 27; Banketo stilius: 30,
ŠAULYS,,,,Y,Teatro stilius: 60; Klasės stilius: 60; U stilius: 60; Apvalaus stalo stilius: 60; Banketo stilius: 20,
ŠERMUTAS,,,,Y,Klasės stilius: 100,"Ekranas, Grafinis projektorius, Kompiuteris"
ŠERMUTAS,,,,Y,Klasės stilius: 150,"Ekranas, Grafinis projektorius, Kompiuteris"
ŠERMUTAS,,,,Y,Klasės stilius: 50,"Ekranas, Grafinis projektorius, Kompiuteris"
ŠIAULIAI,,,Y,Y,Teatro stilius: 100,
ŠIAULIŲ KRAŠTO MEDŽIOTOJŲ UŽEIGA,,,Y,Y,Teatro stilius: 60,"Ekranas, Multimedia"
ŠIRVINTA,,,Y,Y,Teatro stilius: 40,
TAURAGĖ,,,Y,Y,Teatro stilius: 50; Klasės stilius: 30; U stilius: 30; Apvalaus stalo stilius: 15; Banketo stilius: 50,
TAURAS,,,Y,Y,Teatro stilius: 20; Banketo stilius: 20,
TENISAS,,,,Y,Teatro stilius: 50,
TYLA,,,Y,Y,Teatro stilius: 18,
TOMAS,,,Y,Y,Klasės stilius: 70,"Grafinis projektorius, TV"
TRASALIS,Konferencijų salė,,,Y,Klasės stilius: 100,"DVD grotuvas, Ekranas, Mikrofonas, Multimedia"
TULPĖ,,,,Y,Klasės stilius: 30; U stilius: 15; Apvalaus stalo stilius: 20,
TULPĖ,,,,Y,Klasės stilius: 30; U stilius: 15; Apvalaus stalo stilius: 20,
VAIDILA,galima konferencija surengti restorano patalpose,,Y,Y,Teatro stilius: 50,
VAIVORYKŠTĖ,,,Y,Y,Teatro stilius: 60,
VAIVORYKŠTĖ,,,Y,Y,Banketo stilius: 100,
VALINA,,,Y,Y,Teatro stilius: 14,
VANAGUPĖ,Akmena,100,Y,Y,Teatro stilius: 60; Klasės stilius: 40; U stilius: 36; Apvalaus stalo stilius: 56; Banketo stilius: 40,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
